time,body_id,body_name,x,y,z,q0,q1,q2,q3
0.000050,0,oct_000,-0.00000000,0.00000000,-0.00000002,1.00000000,-0.00000002,-0.00000005,0.00000000
0.000050,1,oct_100,1.41421356,0.00000000,-0.00000003,1.00000000,0.00000000,0.00000005,0.00000000
0.000050,2,oct_200,2.82842712,0.00000000,-0.00000003,1.00000000,0.00000000,-0.00000005,0.00000000
0.000050,3,oct_010,-0.00000000,1.41421356,-0.00000002,1.00000000,0.00000002,0.00000000,0.00000000
0.000050,4,oct_110,1.41421356,1.41421356,-0.00000002,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,5,oct_210,2.82842712,1.41421356,-0.00000003,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,6,oct_020,-0.00000000,2.82842712,-0.00000002,1.00000000,-0.00000002,0.00000000,0.00000000
0.000050,7,oct_120,1.41421356,2.82842713,-0.00000002,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,8,oct_220,2.82842712,2.82842713,-0.00000003,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,9,oct_001,0.00000000,-0.00000000,1.41421354,1.00000000,0.00000002,0.00000005,0.00000002
0.000050,10,oct_101,1.41421356,0.00000000,1.41421354,1.00000000,0.00000000,-0.00000005,-0.00000002
0.000050,11,oct_201,2.82842713,0.00000000,1.41421353,1.00000000,0.00000000,0.00000005,0.00000002
0.000050,12,oct_011,-0.00000000,1.41421356,1.41421354,1.00000000,-0.00000002,0.00000000,-0.00000002
0.000050,13,oct_111,1.41421356,1.41421356,1.41421354,1.00000000,0.00000000,0.00000000,0.00000002
0.000050,14,oct_211,2.82842712,1.41421356,1.41421354,1.00000000,0.00000000,0.00000000,-0.00000002
0.000050,15,oct_021,-0.00000000,2.82842712,1.41421354,1.00000000,0.00000002,0.00000000,0.00000002
0.000050,16,oct_121,1.41421356,2.82842712,1.41421354,1.00000000,0.00000000,0.00000000,-0.00000002
0.000050,17,oct_221,2.82842712,2.82842713,1.41421354,1.00000000,0.00000000,0.00000000,0.00000002
0.000050,18,oct_002,0.00000000,-0.00000000,2.82842710,1.00000000,-0.00000002,-0.00000005,0.00000000
0.000050,19,oct_102,1.41421356,-0.00000000,2.82842710,1.00000000,0.00000000,0.00000005,0.00000000
0.000050,20,oct_202,2.82842713,-0.00000000,2.82842710,1.00000000,0.00000000,-0.00000005,0.00000000
0.000050,21,oct_012,0.00000000,1.41421356,2.82842710,1.00000000,0.00000002,0.00000000,0.00000000
0.000050,22,oct_112,1.41421356,1.41421356,2.82842710,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,23,oct_212,2.82842713,1.41421356,2.82842710,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,24,oct_022,0.00000000,2.82842712,2.82842710,1.00000000,-0.00000002,0.00000000,0.00000000
0.000050,25,oct_122,1.41421356,2.82842712,2.82842710,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,26,oct_222,2.82842713,2.82842712,2.82842710,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,27,bot_sphere_00,0.00000007,-0.00000003,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,28,bot_sphere_10,1.41421349,0.00000000,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,29,bot_sphere_20,2.82842719,0.00000000,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,30,bot_sphere_01,-0.00000000,1.41421359,-0.70710680,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,31,bot_sphere_11,1.41421356,1.41421356,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,32,bot_sphere_21,2.82842712,1.41421356,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,33,bot_sphere_02,-0.00000000,2.82842710,-0.70710680,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,34,bot_sphere_12,1.41421356,2.82842713,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,35,bot_sphere_22,2.82842712,2.82842713,-0.70710681,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,36,top_sphere_00,-0.00000006,0.00000003,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,37,top_sphere_10,1.41421363,-0.00000000,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,38,top_sphere_20,2.82842706,-0.00000000,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,39,top_sphere_01,0.00000000,1.41421353,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,40,top_sphere_11,1.41421357,1.41421356,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,41,top_sphere_21,2.82842713,1.41421356,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,42,top_sphere_02,0.00000000,2.82842715,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,43,top_sphere_12,1.41421356,2.82842712,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,44,top_sphere_22,2.82842713,2.82842712,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.012550,0,oct_000,-0.00000031,0.00000005,-0.00078788,1.00000000,-0.00000499,-0.00001185,0.00000005
0.012550,1,oct_100,1.41421325,0.00000019,-0.00078833,1.00000000,0.00000006,0.00001218,0.00000006
0.012550,2,oct_200,2.82842681,0.00000034,-0.00078879,1.00000000,0.00000006,-0.00001185,0.00000005
0.012550,3,oct_010,-0.00000046,1.41421361,-0.00078768,1.00000000,0.00000512,0.00000014,0.00000006
0.012550,4,oct_110,1.41421311,1.41421375,-0.00078814,1.00000000,0.00000008,0.00000018,0.00000005
0.012550,5,oct_210,2.82842667,1.41421390,-0.00078860,1.00000000,0.00000008,0.00000014,0.00000006
0.012550,6,oct_020,-0.00000060,2.82842717,-0.00078749,1.00000000,-0.00000499,0.00000014,0.00000005
0.012550,7,oct_120,1.41421296,2.82842732,-0.00078795,1.00000000,0.00000006,0.00000018,0.00000006
0.012550,8,oct_220,2.82842652,2.82842746,-0.00078840,1.00000000,0.00000006,0.00000014,0.00000005
0.012550,9,oct_001,0.00000015,-0.00000015,1.41342569,1.00000000,0.00000512,0.00001218,0.00000489
0.012550,10,oct_101,1.41421371,0.00000000,1.41342523,1.00000000,0.00000008,-0.00001185,-0.00000478
0.012550,11,oct_201,2.82842727,0.00000015,1.41342477,1.00000000,0.00000008,0.00001218,0.00000489
0.012550,12,oct_011,0.00000000,1.41421342,1.41342588,1.00000000,-0.00000499,0.00000018,-0.00000478
0.012550,13,oct_111,1.41421356,1.41421356,1.41342542,1.00000000,0.00000006,0.00000014,0.00000489
0.012550,14,oct_211,2.82842712,1.41421371,1.41342497,1.00000000,0.00000006,0.00000018,-0.00000478
0.012550,15,oct_021,-0.00000015,2.82842698,1.41342607,1.00000000,0.00000512,0.00000018,0.00000489
0.012550,16,oct_121,1.41421342,2.82842712,1.41342561,1.00000000,0.00000008,0.00000014,-0.00000478
0.012550,17,oct_221,2.82842698,2.82842727,1.41342516,1.00000000,0.00000008,0.00000018,0.00000489
0.012550,18,oct_002,0.00000060,-0.00000034,2.82763925,1.00000000,-0.00000499,-0.00001185,0.00000005
0.012550,19,oct_102,1.41421417,-0.00000019,2.82763879,1.00000000,0.00000006,0.00001218,0.00000006
0.012550,20,oct_202,2.82842773,-0.00000005,2.82763834,1.00000000,0.00000006,-0.00001185,0.00000005
0.012550,21,oct_012,0.00000046,1.41421322,2.82763944,1.00000000,0.00000512,0.00000014,0.00000006
0.012550,22,oct_112,1.41421402,1.41421337,2.82763898,1.00000000,0.00000008,0.00000018,0.00000005
0.012550,23,oct_212,2.82842758,1.41421352,2.82763853,1.00000000,0.00000008,0.00000014,0.00000006
0.012550,24,oct_022,0.00000031,2.82842679,2.82763963,1.00000000,-0.00000499,0.00000014,0.00000005
0.012550,25,oct_122,1.41421387,2.82842693,2.82763918,1.00000000,0.00000006,0.00000018,0.00000006
0.012550,26,oct_222,2.82842743,2.82842708,2.82763872,1.00000000,0.00000006,0.00000014,0.00000005
0.012550,27,bot_sphere_00,0.00001645,-0.00000701,-0.70789466,1.00000000,0.00000000,0.00000000,0.00000000
0.012550,28,bot_sphere_10,1.41419603,0.00000028,-0.70789511,1.00000000,0.00000000,0.00000000,0.00000000
