time,body_id,body_name,x,y,z,q0,q1,q2,q3
0.000050,0,oct_000,0.00000000,-0.00000000,-0.00000003,1.00000000,0.00000004,0.00000007,-0.00000000
0.000050,1,oct_100,1.41421357,-0.00000000,-0.00000002,1.00000000,-0.00000000,-0.00000007,-0.00000000
0.000050,2,oct_010,0.00000001,1.41421356,-0.00000003,1.00000000,-0.00000004,-0.00000000,-0.00000000
0.000050,3,oct_110,1.41421357,1.41421356,-0.00000002,1.00000000,-0.00000000,-0.00000000,-0.00000000
0.000050,4,oct_001,-0.00000000,0.00000000,1.41421354,1.00000000,-0.00000004,-0.00000007,-0.00000002
0.000050,5,oct_101,1.41421356,-0.00000000,1.41421354,1.00000000,-0.00000000,0.00000007,0.00000002
0.000050,6,oct_011,0.00000000,1.41421356,1.41421353,1.00000000,0.00000004,-0.00000000,0.00000002
0.000050,7,oct_111,1.41421356,1.41421356,1.41421354,1.00000000,-0.00000000,-0.00000000,-0.00000002
0.000050,8,oct_002,-0.00000001,0.00000000,2.82842710,1.00000000,0.00000004,0.00000007,-0.00000000
0.000050,9,oct_102,1.41421356,0.00000000,2.82842710,1.00000000,-0.00000000,-0.00000007,-0.00000000
0.000050,10,oct_012,-0.00000000,1.41421357,2.82842710,1.00000000,-0.00000004,-0.00000000,-0.00000000
0.000050,11,oct_112,1.41421356,1.41421356,2.82842710,1.00000000,-0.00000000,-0.00000000,-0.00000000
0.000050,12,top_sphere_00,0.00000009,-0.00000005,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,13,top_sphere_10,1.41421345,0.00000000,3.53553389,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,14,top_sphere_01,-0.00000001,1.41421363,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.000050,15,top_sphere_11,1.41421356,1.41421357,3.53553388,1.00000000,0.00000000,0.00000000,0.00000000
0.012550,0,oct_000,0.00000108,-0.00000057,-0.00078840,1.00000000,0.00001039,0.00001716,-0.00000015
0.012550,1,oct_100,1.41421464,-0.00000099,-0.00078711,1.00000000,-0.00000028,-0.00001807,-0.00000015
0.012550,2,oct_010,0.00000150,1.41421299,-0.00078918,1.00000000,-0.00001094,-0.00000046,-0.00000015
0.012550,3,oct_110,1.41421507,1.41421257,-0.00078789,1.00000000,-0.00000028,-0.00000046,-0.00000015
0.012550,4,oct_001,-0.00000021,0.00000021,1.41342516,1.00000000,-0.00001094,-0.00001807,-0.00000511
0.012550,5,oct_101,1.41421335,-0.00000021,1.41342645,1.00000000,-0.00000028,0.00001716,0.00000481
0.012550,6,oct_011,0.00000021,1.41421377,1.41342438,1.00000000,0.00001039,-0.00000046,0.00000481
0.012550,7,oct_111,1.41421378,1.41421335,1.41342567,1.00000000,-0.00000028,-0.00000046,-0.00000511
0.012550,8,oct_002,-0.00000150,0.00000099,2.82763872,1.00000000,0.00001039,0.00001716,-0.00000015
0.012550,9,oct_102,1.41421206,0.00000057,2.82764001,1.00000000,-0.00000028,-0.00001807,-0.00000015
0.012550,10,oct_012,-0.00000108,1.41421456,2.82763794,1.00000000,-0.00001094,-0.00000046,-0.00000015
0.012550,11,oct_112,1.41421249,1.41421413,2.82763923,1.00000000,-0.00000028,-0.00000046,-0.00000015
0.012550,12,top_sphere_00,0.00002277,-0.00001370,3.53474551,1.00000000,-0.00000000,0.00000000,0.00000000
0.012550,13,top_sphere_10,1.41418650,0.00000096,3.53474680,1.00000000,0.00000000,-0.00000000,0.00000000
0.012550,14,top_sphere_01,-0.00000172,1.41423003,3.53474473,1.00000000,-0.00000000,-0.00000000,0.00000000
0.012550,15,top_sphere_11,1.41421184,1.41421452,3.53474602,1.00000000,0.00000000,-0.00000000,0.00000000
0.025050,0,oct_000,0.00000215,-0.00000113,-0.00313171,1.00000000,0.00002072,0.00003422,-0.00000030
0.025050,1,oct_100,1.41421571,-0.00000198,-0.00312914,1.00000000,-0.00000055,-0.00003604,-0.00000030
0.025050,2,oct_010,0.00000300,1.41421243,-0.00313326,1.00000000,-0.00002182,-0.00000091,-0.00000030
0.025050,3,oct_110,1.41421656,1.41421158,-0.00313070,1.00000000,-0.00000055,-0.00000091,-0.00000030
0.025050,4,oct_001,-0.00000042,0.00000042,1.41108185,1.00000000,-0.00002182,-0.00003604,-0.00001019
0.025050,5,oct_101,1.41421314,-0.00000042,1.41108442,1.00000000,-0.00000055,0.00003422,0.00000959
0.025050,6,oct_011,0.00000043,1.41421399,1.41108030,1.00000000,0.00002072,-0.00000091,0.00000960
0.025050,7,oct_111,1.41421399,1.41421314,1.41108287,1.00000000,-0.00000055,-0.00000091,-0.00001019
0.025050,8,oct_002,-0.00000299,0.00000198,2.82529541,1.00000000,0.00002072,0.00003422,-0.00000030
0.025050,9,oct_102,1.41421057,0.00000113,2.82529798,1.00000000,-0.00000055,-0.00003604,-0.00000030
0.025050,10,oct_012,-0.00000215,1.41421554,2.82529386,1.00000000,-0.00002182,-0.00000091,-0.00000030
0.025050,11,oct_112,1.41421142,1.41421469,2.82529643,1.00000000,-0.00000055,-0.00000091,-0.00000030
0.025050,12,top_sphere_00,0.00004540,-0.00002732,3.53240219,1.00000000,-0.00000000,0.00000000,0.00000000
0.025050,13,top_sphere_10,1.41415960,0.00000191,3.53240476,1.00000000,0.00000000,-0.00000000,0.00000000
0.025050,14,top_sphere_01,-0.00000343,1.41424640,3.53240064,1.00000000,0.00000000,-0.00000000,0.00000000
0.025050,15,top_sphere_11,1.41421013,1.41421547,3.53240321,1.00000000,0.00000000,-0.00000000,0.00000000
0.037550,0,oct_000,0.00000322,-0.00000170,-0.00702607,1.00000000,0.00003103,0.00005125,-0.00000045
0.037550,1,oct_100,1.41421677,-0.00000297,-0.00702222,1.00000000,-0.00000083,-0.00005397,-0.00000045
0.037550,2,oct_010,0.00000449,1.41421186,-0.00702840,1.00000000,-0.00003269,-0.00000136,-0.00000045
0.037550,3,oct_110,1.41421805,1.41421060,-0.00702456,1.00000000,-0.00000083,-0.00000136,-0.00000045
0.037550,4,oct_001,-0.00000063,0.00000064,1.40718749,1.00000000,-0.00003268,-0.00005397,-0.00001526
0.037550,5,oct_101,1.41421293,-0.00000063,1.40719134,1.00000000,-0.00000082,0.00005125,0.00001436
0.037550,6,oct_011,0.00000064,1.41421420,1.40718516,1.00000000,0.00003103,-0.00000136,0.00001437
0.037550,7,oct_111,1.41421420,1.41421293,1.40718901,1.00000000,-0.00000082,-0.00000136,-0.00001526
0.037550,8,oct_002,-0.00000448,0.00000296,2.82140104,1.00000000,0.00003104,0.00005125,-0.00000045
0.037550,9,oct_102,1.41420908,0.00000169,2.82140489,1.00000000,-0.00000082,-0.00005398,-0.00000045
0.037550,10,oct_012,-0.00000321,1.41421652,2.82139872,1.00000000,-0.00003268,-0.00000136,-0.00000045
0.037550,11,oct_112,1.41421035,1.41421526,2.82140257,1.00000000,-0.00000082,-0.00000136,-0.00000045
0.037550,12,top_sphere_00,0.00006800,-0.00004093,3.52850781,1.00000000,-0.00000000,0.00000000,0.00000000
0.037550,13,top_sphere_10,1.41413274,0.00000285,3.52851167,1.00000000,0.00000000,-0.00000000,0.00000000
0.037550,14,top_sphere_01,-0.00000514,1.41426274,3.52850550,1.00000000,0.00000000,-0.00000000,0.00000000
0.037550,15,top_sphere_11,1.41420842,1.41421642,3.52850935,1.00000000,-0.00000000,-0.00000000,0.00000000
0.050050,0,oct_000,0.00047134,-0.00034974,-0.00726027,0.99999997,0.00006621,-0.00023728,0.00002974
0.050050,1,oct_100,1.41468470,-0.00026568,-0.00732083,0.99999994,0.00018354,0.00028011,0.00002966
0.050050,2,oct_010,0.00038727,1.41386381,-0.00725953,1.00000000,-0.00006568,-0.00005660,0.00002969
0.050050,3,oct_110,1.41460081,1.41394778,-0.00732009,0.99999998,-0.00018304,0.00009942,0.00002970
0.050050,4,oct_001,0.00053194,-0.00035056,1.40695309,0.99999996,-0.00006563,0.00028013,0.00001005
0.050050,5,oct_101,1.41474530,-0.00026651,1.40689245,0.99999995,-0.00018297,-0.00023725,0.00004936
0.050050,6,oct_011,0.00044787,1.41386299,1.40695400,0.99999999,0.00006627,0.00009945,0.00004939
0.050050,7,oct_111,1.41466141,1.41394696,1.40689335,0.99999998,0.00018362,-0.00005657,0.00000999
0.050050,8,oct_002,0.00059262,-0.00035155,2.82116645,0.99999997,0.00006633,-0.00023722,0.00002968
0.050050,9,oct_102,1.41480599,-0.00026750,2.82110572,0.99999994,0.00018367,0.00028017,0.00002972
0.050050,10,oct_012,0.00050855,1.41386199,2.82116753,1.00000000,-0.00006556,-0.00005655,0.00002975
0.050050,11,oct_112,1.41472209,1.41394596,2.82110680,0.99999998,-0.00018292,0.00009948,0.00002964
0.050050,12,top_sphere_00,0.00025714,-0.00044537,3.52827315,1.00000000,-0.00000000,0.00000000,-0.00000000
0.050050,13,top_sphere_10,1.41520221,-0.00052723,3.52821235,1.00000000,0.00000000,-0.00000000,0.00000000
0.050050,14,top_sphere_01,0.00042858,1.41395471,3.52827430,1.00000000,-0.00000000,0.00000000,0.00000000
0.050050,15,top_sphere_11,1.41486277,1.41420465,3.52821352,1.00000000,0.00000000,0.00000000,0.00000000
0.062550,0,oct_000,0.00088824,-0.00053248,-0.00732047,0.99999983,0.00011848,-0.00055813,0.00008451
0.062550,1,oct_100,1.41510090,-0.00029424,-0.00732113,0.99999982,0.00020188,0.00055863,0.00008390
0.062550,2,oct_010,0.00064974,1.41368103,-0.00732009,0.99999995,-0.00011814,-0.00027796,0.00008410
0.062550,3,oct_110,1.41486306,1.41391919,-0.00732075,0.99999994,-0.00020168,0.00027840,0.00008433
0.062550,4,oct_001,0.00088893,-0.00053320,1.40689217,0.99999984,-0.00011798,0.00055862,0.00005972
0.062550,5,oct_101,1.41510159,-0.00029496,1.40689143,0.99999982,-0.00020138,-0.00055813,0.00010870
0.062550,6,oct_011,0.00065044,1.41368030,1.40689321,0.99999995,0.00011866,0.00027845,0.00010889
0.062550,7,oct_111,1.41486376,1.41391846,1.40689248,0.99999994,0.00020220,-0.00027790,0.00005953
0.062550,8,oct_002,0.00088970,-0.00053459,2.82110481,0.99999983,0.00011895,-0.00055808,0.00008422
0.062550,9,oct_102,1.41510236,-0.00029635,2.82110400,0.99999982,0.00020235,0.00055868,0.00008420
0.062550,10,oct_012,0.00065121,1.41367891,2.82110652,0.99999995,-0.00011767,-0.00027791,0.00008439
0.062550,11,oct_112,1.41486453,1.41391707,2.82110571,0.99999994,-0.00020121,0.00027845,0.00008404
0.062550,12,top_sphere_00,0.00010047,-0.00070288,3.52821113,1.00000000,-0.00000000,-0.00000000,-0.00000000
0.062550,13,top_sphere_10,1.41589248,-0.00058245,3.52821028,1.00000000,0.00000000,-0.00000000,0.00000000
0.062550,14,top_sphere_01,0.00025818,1.41384530,3.52821317,1.00000000,-0.00000000,0.00000000,-0.00000000
0.062550,15,top_sphere_11,1.41525830,1.41420166,3.52821232,1.00000000,0.00000000,0.00000000,0.00000000
0.075050,0,oct_000,0.00092190,-0.00054798,-0.00732102,0.99999982,0.00012646,-0.00058166,0.00009013
0.075050,1,oct_100,1.41513448,-0.00029459,-0.00732104,0.99999981,0.00020291,0.00058171,0.00008900
0.075050,2,oct_010,0.00066822,1.41366551,-0.00732064,0.99999995,-0.00012611,-0.00029109,0.00008921
0.075050,3,oct_110,1.41488152,1.41391883,-0.00732067,0.99999993,-0.00020272,0.00029108,0.00008994
0.075050,4,oct_001,0.00092196,-0.00054873,1.40689154,0.99999982,-0.00012595,0.00058170,0.00006010
0.075050,5,oct_101,1.41513454,-0.00029534,1.40689145,0.99999980,-0.00020240,-0.00058166,0.00011903
0.075050,6,oct_011,0.00066828,1.41366476,1.40689264,0.99999994,0.00012665,0.00029113,0.00011924
0.075050,7,oct_111,1.41488158,1.41391808,1.40689254,0.99999994,0.00020326,-0.00029104,0.00005991
0.075050,8,oct_002,0.00092209,-0.00055020,2.82110411,0.99999982,0.00012697,-0.00058161,0.00008959
0.075050,9,oct_102,1.41513467,-0.00029680,2.82110394,0.99999981,0.00020342,0.00058176,0.00008954
0.075050,10,oct_012,0.00066841,1.41366330,2.82110592,0.99999995,-0.00012561,-0.00029104,0.00008975
0.075050,11,oct_112,1.41488171,1.41391662,2.82110575,0.99999993,-0.00020222,0.00029113,0.00008939
0.075050,12,top_sphere_00,0.00009958,-0.00072983,3.52821039,1.00000000,-0.00000000,-0.00000000,0.00000000
0.075050,13,top_sphere_10,1.41595744,-0.00058441,3.52821018,1.00000000,0.00000000,-0.00000000,0.00000000
0.075050,14,top_sphere_01,0.00025679,1.41384090,3.52821255,1.00000000,-0.00000000,0.00000000,-0.00000000
0.075050,15,top_sphere_11,1.41529341,1.41420263,3.52821235,1.00000000,0.00000000,0.00000000,0.00000000
0.087550,0,oct_000,0.00092219,-0.00054836,-0.00732104,0.99999982,0.00012650,-0.00058236,0.00009064
0.087550,1,oct_100,1.41513477,-0.00029429,-0.00732106,0.99999981,0.00020316,0.00058240,0.00008897
0.087550,2,oct_010,0.00066783,1.41366514,-0.00732064,0.99999995,-0.00012614,-0.00029166,0.00008918
0.087550,3,oct_110,1.41488113,1.41391913,-0.00732066,0.99999993,-0.00020296,0.00029164,0.00009044
0.087550,4,oct_001,0.00092224,-0.00054913,1.40689152,0.99999982,-0.00012597,0.00058239,0.00005536
0.087550,5,oct_101,1.41513482,-0.00029506,1.40689143,0.99999980,-0.00020263,-0.00058236,0.00012424
0.087550,6,oct_011,0.00066788,1.41366437,1.40689264,0.99999994,0.00012670,0.00029169,0.00012445
0.087550,7,oct_111,1.41488118,1.41391836,1.40689255,0.99999994,0.00020351,-0.00029160,0.00005517
0.087550,8,oct_002,0.00092236,-0.00055062,2.82110408,0.99999982,0.00012701,-0.00058231,0.00008983
0.087550,9,oct_102,1.41513494,-0.00029656,2.82110391,0.99999981,0.00020367,0.00058245,0.00008977
0.087550,10,oct_012,0.00066801,1.41366288,2.82110591,0.99999995,-0.00012563,-0.00029161,0.00008998
0.087550,11,oct_112,1.41488130,1.41391687,2.82110575,0.99999993,-0.00020245,0.00029170,0.00008964
0.087550,12,top_sphere_00,0.00009887,-0.00073031,3.52821036,1.00000000,-0.00000000,-0.00000000,0.00000000
0.087550,13,top_sphere_10,1.41595868,-0.00058451,3.52821016,1.00000000,0.00000000,-0.00000000,0.00000000
0.087550,14,top_sphere_01,0.00025559,1.41384051,3.52821255,1.00000000,-0.00000000,0.00000000,-0.00000000
0.087550,15,top_sphere_11,1.41529380,1.41420321,3.52821235,1.00000000,0.00000000,0.00000000,0.00000000
0.100050,0,oct_000,0.00092244,-0.00054841,-0.00732101,0.99999982,0.00012671,-0.00058292,0.00009099
0.100050,1,oct_100,1.41513502,-0.00029409,-0.00732111,0.99999981,0.00020348,0.00058302,0.00008880
0.100050,2,oct_010,0.00066782,1.41366508,-0.00732063,0.99999995,-0.00012636,-0.00029195,0.00008901
0.100050,3,oct_110,1.41488112,1.41391934,-0.00732073,0.99999993,-0.00020329,0.00029199,0.00009079
0.100050,4,oct_001,0.00092257,-0.00054917,1.40689155,0.99999982,-0.00012619,0.00058301,0.00005049
0.100050,5,oct_101,1.41513515,-0.00029484,1.40689137,0.99999980,-0.00020297,-0.00058292,0.00012930
0.100050,6,oct_011,0.00066796,1.41366432,1.40689265,0.99999994,0.00012691,0.00029204,0.00012951
0.100050,7,oct_111,1.41488125,1.41391857,1.40689248,0.99999994,0.00020384,-0.00029189,0.00005029
0.100050,8,oct_002,0.00092278,-0.00055065,2.82110410,0.99999982,0.00012722,-0.00058287,0.00008994
0.100050,9,oct_102,1.41513536,-0.00029633,2.82110386,0.99999981,0.00020400,0.00058308,0.00008986
0.100050,10,oct_012,0.00066816,1.41366284,2.82110593,0.99999995,-0.00012585,-0.00029190,0.00009007
0.100050,11,oct_112,1.41488146,1.41391710,2.82110568,0.99999993,-0.00020279,0.00029204,0.00008974
0.100050,12,top_sphere_00,0.00009849,-0.00073064,3.52821038,1.00000000,-0.00000000,-0.00000000,0.00000000
0.100050,13,top_sphere_10,1.41595998,-0.00058475,3.52821010,1.00000000,0.00000000,-0.00000000,0.00000000
0.100050,14,top_sphere_01,0.00025534,1.41384079,3.52821256,1.00000000,-0.00000000,0.00000000,-0.00000000
0.100050,15,top_sphere_11,1.41529445,1.41420392,3.52821228,1.00000000,0.00000000,0.00000000,0.00000000
0.112550,0,oct_000,0.00092351,-0.00054904,-0.00732102,0.99999982,0.00012679,-0.00058473,0.00009148
0.112550,1,oct_100,1.41513609,-0.00029409,-0.00732104,0.99999980,0.00020447,0.00058478,0.00008876
0.112550,2,oct_010,0.00066826,1.41366445,-0.00732063,0.99999995,-0.00012644,-0.00029216,0.00008897
0.112550,3,oct_110,1.41488156,1.41391933,-0.00732065,0.99999993,-0.00020427,0.00029215,0.00009128
0.112550,4,oct_001,0.00092357,-0.00054981,1.40689153,0.99999982,-0.00012627,0.00058477,0.00004576
0.112550,5,oct_101,1.41513614,-0.00029486,1.40689144,0.99999980,-0.00020395,-0.00058473,0.00013448
0.112550,6,oct_011,0.00066832,1.41366368,1.40689265,0.99999994,0.00012700,0.00029220,0.00013469
0.112550,7,oct_111,1.41488161,1.41391856,1.40689255,0.99999994,0.00020483,-0.00029210,0.00004556
0.112550,8,oct_002,0.00092369,-0.00055131,2.82110408,0.99999982,0.00012731,-0.00058468,0.00009017
0.112550,9,oct_102,1.41513627,-0.00029636,2.82110391,0.99999980,0.00020498,0.00058483,0.00009007
0.112550,10,oct_012,0.00066844,1.41366218,2.82110592,0.99999995,-0.00012593,-0.00029212,0.00009029
0.112550,11,oct_112,1.41488174,1.41391706,2.82110576,0.99999993,-0.00020376,0.00029221,0.00008997
0.112550,12,top_sphere_00,0.00009684,-0.00073143,3.52821036,1.00000000,-0.00000000,-0.00000000,0.00000000
0.112550,13,top_sphere_10,1.41596337,-0.00058617,3.52821015,1.00000000,0.00000000,-0.00000000,0.00000000
0.112550,14,top_sphere_01,0.00025531,1.41384023,3.52821256,1.00000000,-0.00000000,0.00000000,-0.00000000
0.112550,15,top_sphere_11,1.41529496,1.41420526,3.52821236,1.00000000,0.00000000,0.00000000,0.00000000
0.125050,0,oct_000,0.00092424,-0.00054918,-0.00732106,0.99999982,0.00012698,-0.00058588,0.00009183
0.125050,1,oct_100,1.41513681,-0.00029397,-0.00732109,0.99999980,0.00020501,0.00058593,0.00008858
0.125050,2,oct_010,0.00066874,1.41366431,-0.00732064,0.99999995,-0.00012660,-0.00029210,0.00008880
0.125050,3,oct_110,1.41488203,1.41391945,-0.00732067,0.99999993,-0.00020479,0.00029209,0.00009163
0.125050,4,oct_001,0.00092431,-0.00054998,1.40689149,0.99999982,-0.00012644,0.00058591,0.00004090
0.125050,5,oct_101,1.41513687,-0.00029477,1.40689139,0.99999980,-0.00020447,-0.00058588,0.00013951
0.125050,6,oct_011,0.00066880,1.41366350,1.40689264,0.99999994,0.00012719,0.00029214,0.00013973
0.125050,7,oct_111,1.41488209,1.41391864,1.40689254,0.99999994,0.00020537,-0.00029204,0.00004070
0.125050,8,oct_002,0.00092443,-0.00055152,2.82110403,0.99999982,0.00012750,-0.00058583,0.00009027
0.125050,9,oct_102,1.41513700,-0.00029631,2.82110386,0.99999980,0.00020553,0.00058598,0.00009015
0.125050,10,oct_012,0.00066892,1.41366197,2.82110591,0.99999995,-0.00012609,-0.00029205,0.00009037
0.125050,11,oct_112,1.41488222,1.41391711,2.82110574,0.99999993,-0.00020428,0.00029215,0.00009007
0.125050,12,top_sphere_00,0.00009596,-0.00073191,3.52821031,1.00000000,-0.00000000,-0.00000000,0.00000000
0.125050,13,top_sphere_10,1.41596573,-0.00058689,3.52821010,1.00000000,0.00000000,-0.00000000,0.00000000
0.125050,14,top_sphere_01,0.00025588,1.41384026,3.52821255,1.00000000,-0.00000000,0.00000000,-0.00000000
0.125050,15,top_sphere_11,1.41529535,1.41420604,3.52821234,1.00000000,0.00000000,0.00000000,0.00000000
0.137550,0,oct_000,0.00092541,-0.00054960,-0.00732099,0.99999982,0.00012688,-0.00058704,0.00009245
